OBJECTID,FACILITYID,INTID,CENSUSTRACT,FIPSCODE,POPULATION2020,HOUSINGUNITS2020,LASTUPDATE,NOTES,Shape_Length,Shape_Area
1,1,1,5118,06085511800,4185,1705,2022/03/16 00:00:00+00,,78801.0593159311,102557752.642431
2,2,2,5119.10,06085511910,3097,1062,2022/03/16 00:00:00+00,,25606.5585996925,24421078.9804196
3,3,3,5119.11,06085511911,4885,1895,2022/03/16 00:00:00+00,,162995.690697454,409158296.095571
4,4,4,5119.12,06085511912,5348,1771,2022/03/16 00:00:00+00,,25335.0691720767,26359994.7224218
5,5,5,5119.17,06085511917,5060,1698,2022/03/16 00:00:00+00,,26970.9586036826,30775498.6776133
6,6,6,5119.18,06085511918,3545,1125,2022/03/16 00:00:00+00,,96538.4108765595,225833834.242742
7,7,7,5121,06085512100,1755,518,2022/03/16 00:00:00+00,,116748.864398313,494226786.72343
8,8,8,5122,06085512200,4790,1763,2022/03/16 00:00:00+00,,89494.6679895769,235852228.186742
9,9,9,5123.05,06085512305,17,6,2022/03/16 00:00:00+00,,4631.17091751525,466091.442961137
10,10,10,5123.08,06085512308,27,10,2022/03/16 00:00:00+00,,4462.53242271397,890637.789319393
11,11,11,5123.11,06085512311,4123,1395,2022/03/16 00:00:00+00,,13410.2575334606,5973355.57250614
12,12,12,5078.07,06085507807,161,53,2022/03/16 00:00:00+00,,4473.36896818812,687711.157761341
13,13,13,5062.02,06085506202,7512,2625,2022/03/16 00:00:00+00,,23693.7458105177,27037489.7138614
14,14,14,5063.05,06085506305,7257,2613,2022/03/16 00:00:00+00,,14866.3811511875,11761873.0918633
15,15,15,5065.04,06085506504,2712,995,2022/03/16 00:00:00+00,,6052.4114882573,2256548.28776754
16,16,16,5065.05,06085506505,4788,1607,2022/03/16 00:00:00+00,,12358.8231927055,5207571.72282471
17,17,17,5066.01,06085506601,4726,1770,2022/03/16 00:00:00+00,,18363.0995830617,13964799.527204
18,18,18,5066.03,06085506603,4084,1428,2022/03/16 00:00:00+00,,14015.8650698422,9995873.04115634
19,19,19,5066.04,06085506604,7714,2688,2022/03/16 00:00:00+00,,28373.406441149,22040224.851898
20,20,20,5066.05,06085506605,4320,1648,2022/03/16 00:00:00+00,,14172.0087902271,9094771.20181968
21,21,21,5066.06,06085506606,4537,1744,2022/03/16 00:00:00+00,,5746.8043262929,1953030.83252886
22,22,22,5067.01,06085506701,4093,1404,2022/03/16 00:00:00+00,,9947.12401559617,4700968.62203243
23,23,23,5074.02,06085507402,65,24,2022/03/16 00:00:00+00,,4393.33360844869,535517.775252421
24,24,24,5079.03,06085507903,4888,1631,2022/03/16 00:00:00+00,,17714.4303870892,16166033.943223
25,25,25,5079.04,06085507904,3404,1114,2022/03/16 00:00:00+00,,14848.1366820283,12127971.1080988
26,26,26,5079.05,06085507905,6188,2218,2022/03/16 00:00:00+00,,17927.4857477414,15621550.2823318
27,27,27,5079.06,06085507906,4508,1452,2022/03/16 00:00:00+00,,17486.7261536158,15335560.1011044
28,28,28,5021.01,06085502101,5101,2064,2022/03/16 00:00:00+00,,23550.9735737166,18727099.0028813
29,29,29,5021.04,06085502104,2645,1003,2022/03/16 00:00:00+00,,12848.3613782219,8293042.03962942
30,30,30,5022.02,06085502202,3018,1466,2022/03/16 00:00:00+00,,17753.3428024298,11925453.1071234
31,31,31,5022.04,06085502204,3220,1269,2022/03/16 00:00:00+00,,10189.7446499089,3564103.37865519
32,32,32,5023.01,06085502301,3338,1385,2022/03/16 00:00:00+00,,17242.5684802765,13208648.6214299
33,33,33,5024,06085502400,7235,2956,2022/03/16 00:00:00+00,,26618.7960216676,28841351.9222962
34,34,34,5025,06085502500,6540,2517,2022/03/16 00:00:00+00,,23434.0434345948,26871480.8789891
35,35,35,5026.01,06085502601,2831,1271,2022/03/16 00:00:00+00,,17790.9356739811,12988383.606847
36,36,36,5026.03,06085502603,147,53,2022/03/16 00:00:00+00,,8129.23906895926,756056.893645568
37,37,37,5026.04,06085502604,731,334,2022/03/16 00:00:00+00,,5478.36485489697,974475.726388632
38,38,38,5027.01,06085502701,5048,2050,2022/03/16 00:00:00+00,,20024.893353556,11296141.4045625
39,39,39,5027.03,06085502703,4744,1825,2022/03/16 00:00:00+00,,13871.4637211363,6586395.13830631
40,40,40,5027.04,06085502704,4006,1481,2022/03/16 00:00:00+00,,20723.8533292272,17479631.6906335
41,41,41,5028,06085502800,4422,1429,2022/03/16 00:00:00+00,,18180.8810842928,18901668.9358453
42,42,42,5029.01,06085502901,6250,2295,2022/03/16 00:00:00+00,,21095.9024510747,20261455.1331467
43,43,43,5029.02,06085502902,7864,2795,2022/03/16 00:00:00+00,,24297.5782099729,28289409.1850795
