X,Y,OBJECTID,FACILITYID,INTID,LATITUDE,LONGITUDE,COUNTDATE,ADT,STREETONE,DIRECTION,STREETTWO,TRAVELDIRE,NEARINTERS,CITY,ADTONE,ADTTWO,CREATIONDATE,LASTUPDATE,NOTES
6159659.42454433,1952401.84288898,4446,2045,2045,37.34869391,-121.88304505,2018/03/27 00:00:00+00,5613,13TH ST,N of,WASHINGTON ST,N/S,13TH ST & WASHINGTON ST,San Jose,2339,3274,,2021/03/18 17:05:47+00, 
6165293.59831533,1938841.48221448,4447,2046,2046,37.31168149,-121.86298774,2018/04/10 00:00:00+00,6265,7TH ST,S of,LEO AVE,N/S,7TH ST & LEO AVE,San Jose,2842,3423,,2021/03/18 17:05:47+00, 
6158494.95541658,1951732.47349282,4448,2047,2047,37.34680837,-121.88701647,2018/07/31 00:00:00+00,1043,9TH ST,N of,WASHINGTON ST,N/S,9TH ST & WASHINGTON ST,San Jose,589,454,,2021/03/18 17:05:47+00, 
6158544.74632749,1951645.73547731,4449,2048,2048,37.34657221,-121.88684089,2018/07/31 00:00:00+00,1207,9TH ST,S of,WASHINGTON ST,N/S,9TH ST & WASHINGTON ST,San Jose,740,467,,2021/03/18 17:05:47+00, 
6148939.75897583,1958001.95603256,4450,2049,2049,37.3636318,-121.92021112,2018/08/22 00:00:00+00,14432,AIRPORT BLVD,S of,SKYPORT DR,One Way,AIRPORT BLVD & SKYPORT DR,San Jose,,,,2021/03/18 17:05:47+00, 
6148592.06249274,1960437.48462607,4451,2050,2050,37.37029485,-121.92153142,2018/05/16 00:00:00+00,18369,AIRPORT BLVD,W of,GATEWAY PL,E/W,AIRPORT BLVD & GATEWAY PL,San Jose,7987,10382,,2021/03/18 17:05:47+00, 
6186712.84058174,1944157.57427256,4452,2051,2051,37.3271045,-121.78959906,2018/09/12 00:00:00+00,1567,ALLENWOOD DR,E of,DAVIDWOOD WY,E/W,ALLENWOOD DR & DAVIDWOOD WY,San Jose,883,684,,2021/03/18 17:05:47+00, 
6185125.69644633,1944043.47771598,4453,2052,2052,37.32673458,-121.7950539,2018/09/05 00:00:00+00,1796,ALLENWOOD DR,W of,ALLENWOOD CT,E/W,ALLENWOOD DR & ALLENWOOD CT,San Jose,886,910,,2021/03/18 17:05:47+00, 
6163710.00863475,1941340.57990657,4454,2053,2053,37.31846974,-121.86855589,2018/04/10 00:00:00+00,9291,ALMA AVE,E of,7TH ST,E/W,ALMA AVE & 7TH ST,San Jose,4859,4432,,2021/03/18 17:05:47+00, 
6158929.28886549,1938161.64039831,4455,2054,2054,37.30954735,-121.8848356,2018/04/10 00:00:00+00,13180,ALMA AVE,W of,LELONG AVE,E/W,ALMA AVE & LELONG AVE,San Jose,6759,6421,,2021/03/18 17:05:47+00, 
6161217.02707216,1939840.3263454,4456,2055,2055,37.31424961,-121.87704955,2018/04/10 00:00:00+00,16962,ALMA AVE,W of,POMONA AVE,E/W,ALMA AVE & POMONA AVE,San Jose,8905,8057,,2021/03/18 17:05:47+00, 
6159716.96708016,1941603.89270015,4457,2056,2056,37.31904321,-121.8822985,2018/07/31 00:00:00+00,8385,ALMADEN AVE,N of,WILLOW ST,One Way,ALMADEN AVE & WILLOW ST,San Jose,,,,2021/03/18 17:05:47+00, 
6175174.81575757,1914243.31717207,4458,2057,2057,37.24451051,-121.82781702,2018/09/05 00:00:00+00,503,ARIEL DR,W of,ARIEL CT,E/W,ARIEL DR & ARIEL CT,San Jose,232,271,,2021/03/18 17:05:47+00, 
6174459.99139982,1914150.36788289,4459,2058,2058,37.24422912,-121.83026963,2018/05/30 00:00:00+00,610,ARIEL DR,W of,HILLBRIGHT CIR,E/W,ARIEL DR & HILLBRIGHT CIR,San Jose,307,303,,2021/03/18 17:05:47+00, 
6170110.48664741,1944701.50625557,4460,2059,2059,37.32795467,-121.84671228,2018/06/12 00:00:00+00,2966,AUBUDON DR,W of,POWELL CT,E/W,AUBUDON DR & POWELL CT,San Jose,1833,1133,,2021/03/18 17:05:47+00, 
6170187.6246165,1944765.10160081,4461,2060,2060,37.32813238,-121.84645008,2018/06/12 00:00:00+00,2722,AUDUBON DR,E of,POWELL CT,E/W,AUDUBON DR & POWELL CT,San Jose,1568,1154,,2021/03/18 17:05:47+00, 
6193252.096204,1908168.14822006,4462,2061,2061,37.22851628,-121.76542628,2018/04/03 00:00:00+00,1078,AVENIDA ESPANA,N of,PITTSFIELD WAY,N/S,AVENIDA ESPANA & PITTSFIELD WAY,San Jose,516,562,,2021/03/18 17:05:47+00, 
6203666.65739582,1900065.27269356,4463,2062,2062,37.20664286,-121.72929571,2018/04/11 00:00:00+00,9925,BAILEY AVE,W of,MONTEREY RAMP RD,E/W,BAILEY AVE & MONTEREY RAMP RD,San Jose,4215,5710,,2021/03/18 17:05:47+00, 
6201531.39099708,1898054.46930048,4464,2063,2063,37.20104275,-121.73653782,2018/03/20 00:00:00+00,5525,BAILEY AVE,W of,SANTA TERESA BLVD,E/W,BAILEY AVE & SANTA TERESA BLVD,San Jose,2631,2894,,2021/03/18 17:05:47+00, 
6144469.49331008,1925721.55241765,4465,2064,2064,37.27479699,-121.93388631,2018/08/29 00:00:00+00,19954,BASCOM AVE,N of,UNION AVE,N/S,BASCOM AVE & UNION AVE,San Jose,9674,10280,,2021/03/18 17:05:47+00, 
6156459.47687599,1961574.15230022,4466,2065,2065,37.37374064,-121.89452232,2018/02/06 00:00:00+00,4173,BERGER DR,W of,OAKLAND RD,E/W,BERGER DR & OAKLAND RD,San Jose,2300,1873,,2021/03/18 17:05:47+00, 
6191207.43625133,1915134.11000989,4467,2066,2066,37.24757287,-121.77277295,2018/08/14 00:00:00+00,13846,BERNAL RD,N of,RUE FERRARI,N/S,BERNAL RD & RUE FERRARI,San Jose,7264,6582,,2021/03/18 17:05:47+00, 
6190625.89574775,1908569.5896744,4468,2067,2067,37.22951935,-121.77446581,2018/08/21 00:00:00+00,20817,BERNAL RD,W of,VIA DEL ORO,E/W,BERNAL RD & VIA DEL ORO,San Jose,9942,10875,,2021/03/18 17:05:47+00, 
6154536.48826791,1937960.99808306,4469,2068,2068,37.3088277,-121.89992367,2018/06/12 00:00:00+00,848,BLEWETT AVE,S of,WILLOW ST,N/S,BLEWETT AVE & WILLOW ST,San Jose,315,533,,2021/03/18 17:05:47+00, 
6154536.48826791,1937960.99808306,4470,2069,2069,37.3088277,-121.89992367,2018/09/12 00:00:00+00,936,BLEWETTE AVE,S of,WILLOW ST,N/S,BLEWETTE AVE & WILLOW ST,San Jose,352,584,,2021/03/18 17:05:47+00, 
6163983.22396758,1916551.39752965,4471,2070,2070,37.25040846,-121.86637828,2018/10/16 00:00:00+00,,BLOSSOM HILL RD,E of,WINFIELD BLVD,W/E,BLOSSOM HILL RD&WINFIELD BLVD,San Jose,13597,,,2021/03/18 17:05:47+00,Counts were only collected in one direction.
6162965.21812958,1921771.55375598,4472,2071,2071,37.26470081,-121.8701357,2018/08/22 00:00:00+00,20815,BRANHAM LN,E of,GLENMONT DR,E/W,BRANHAM LN & GLENMONT DR,San Jose,10487,10328,,2021/03/18 17:05:47+00, 
6161945.10993358,1921468.22398207,4473,2072,2072,37.26382627,-121.8736245,2018/08/22 00:00:00+00,23053,BRANHAM LN,E of,HAMPSHIRE PL,E/W,BRANHAM LN & HAMPSHIRE PL,San Jose,11608,11445,,2021/03/18 17:05:47+00, 
6156171.61984016,1964851.78419639,4474,2073,2073,37.38273389,-121.89568863,2018/10/11 00:00:00+00,45690,BROKAW RD,E of,OAKLAND RD,E/W,BROKAW RD&OAKLAND RD,San Jose,23170,22520,,2021/03/18 17:05:47+00, 
6154785.5688065,1964731.86252023,4475,2074,2074,37.38234356,-121.90044585,2018/04/10 00:00:00+00,49988,BROKAW RD,E of,RIDDER PARK DR,E/W,BROKAW RD & RIDDER PARK DR,San Jose,24837,25151,,2021/03/18 17:05:47+00, 
6151031.255449,1962941.4021904,4476,2075,2075,37.37727178,-121.91327094,2018/04/10 00:00:00+00,31226,BROKAW RD,W of,ZANKER RD,E/W,BROKAW RD & ZANKER RD,San Jose,14039,17187,,2021/03/18 17:05:47+00, 
6133305.0723975,1929165.30865347,4477,2076,2076,37.28376979,-121.97244726,2018/08/21 00:00:00+00,1506,BUCKNALL RD,E of,ANTHONY DR,E/W,BUCKNALL RD & ANTHONY DR,San Jose,698,808,,2021/03/18 17:05:47+00, 
6153318.48479842,1955784.09793548,4478,2077,2077,37.35771119,-121.90503238,2018/09/11 00:00:00+00,2675,BURTON AVE,E of,SECOND ST,E/W,BURTON AVE & SECOND ST,San Jose,1193,1482,,2021/03/18 17:05:47+00, 
6176295.84927666,1913350.13260673,4479,2078,2078,37.24210747,-121.82392481,2018/04/03 00:00:00+00,2559,CALERO AVE,W of,CLYDESDALE AVE,E/W,CALERO AVE & CLYDESDALE AVE,San Jose,1266,1293,,2021/03/18 17:05:47+00, 
6164104.66663808,1905759.64549115,4480,2079,2079,37.22077912,-121.86542076,2018/08/21 00:00:00+00,15777,CAMDEN AVE,W of,TRINIDAD DR,E/W,CAMDEN AVE & TRINIDAD DR,San Jose,8651,7126,,2021/03/18 17:05:47+00, 
6161817.92646091,1932098.5426164,4481,2080,2080,37.29301733,-121.87460162,2018/10/17 00:00:00+00,9316,CANOAS GARDEN AVE,S of,CURTNER AVE,S/N,CANOAS GARDEN AVE & CURTNER AVE,San Jose,4479,4837,,2021/03/18 17:05:47+00, 
6182623.93832649,1921060.59290756,4482,2081,2081,37.2635286,-121.80254546,2018/10/02 00:00:00+00,839,CARRYBACK AVE,S of,WHIRLAWAY DR,N/S,CARRYBACK AVE & WHIRLAWAY DR,San Jose,480,359,,2021/03/18 17:05:47+00, 
6148373.41069908,1963691.54865597,4483,2082,2082,37.37922116,-121.92245868,2018/04/10 00:00:00+00,13263,CHARCOT AVE,E of,FIRST ST,E/W,CHARCOT AVE & FIRST ST,San Jose,7174,6089,,2021/03/18 17:05:47+00, 
6151154.3752815,1965450.95589831,4484,2083,2083,37.38416929,-121.91297521,2018/03/27 00:00:00+00,7587,CHARCOT AVE,E of,JUNCTION AVE,E/W,CHARCOT AVE & JUNCTION AVE,San Jose,5007,2580,,2021/03/18 17:05:47+00, 
6158346.2349135,1920966.90641515,4485,2084,2084,37.26231398,-121.88595755,2018/10/23 00:00:00+00,7433,CHERRY AVE,N of,CHERRY CT,S/N,CHERRY AVE & CHERRY CT,San Jose,3604,3829,,2021/03/18 17:05:47+00, 
6117437.23733532,1937481.04628706,4486,2085,2085,37.30591309,-122.027448,2018/02/07 00:00:00+00,787,CHIALA LN,E of,WINDSOR ST,E/W,CHIALA LN & WINDSOR ST,San Jose,370,417,,2021/03/18 17:05:47+00, 
6117343.49145983,1937514.86282048,4487,2086,2086,37.30599753,-122.02777281,2018/02/07 00:00:00+00,656,CHIALA LN,W of,WINDSOR ST,E/W,CHIALA LN & WINDSOR ST,San Jose,308,348,,2021/03/18 17:05:47+00, 
6146939.85779192,1975689.22708839,4488,2087,2087,37.41211269,-121.92801382,2018/08/15 00:00:00+00,11524,CISCO WY,S of,TASMAN DR,N/S,CISCO WY & TASMAN DR,San Jose,5801,5723,,2021/03/18 17:05:47+00, 
6149993.02688241,1952077.80810398,4489,2088,2088,37.34740644,-121.91628243,2018/10/10 00:00:00+00,,COLEMAN AVE,N of,MCKENDRIE ST,N/S,COLEMAN AVE&MCKENDRIE ST,San Jose,29640,,,2021/03/18 17:05:47+00,Counts were only collected in one direction.
6158651.18640333,1959384.33417331,4490,2089,2089,37.36781648,-121.88686997,2018/04/10 00:00:00+00,18934,COMMERCIAL ST,W of,COMMERCIAL CT,E/W,COMMERCIAL ST & COMMERCIAL CT,San Jose,8297,10637,,2021/03/18 17:05:47+00, 
6178589.51693341,1925931.6395959,4491,2090,2090,37.27674398,-121.81665421,2018/05/08 00:00:00+00,579,CONTINENTAL DR,W of,SYMPHONY LN,E/W,CONTINENTAL DR & SYMPHONY LN,San Jose,217,362,,2021/03/18 17:05:47+00, 
6129513.78109558,1934151.22617505,4492,2091,2091,37.29730551,-121.98574602,2018/01/30 00:00:00+00,1755,COUNTRY LN,E of,SARATOGA FRONTAGE RD,E/W,COUNTRY LN & SARATOGA FRONTAGE RD,San Jose,775,980,,2021/03/18 17:05:47+00, 
6129438.52960566,1934226.64400323,4493,2092,2092,37.29750901,-121.98600957,2018/01/30 00:00:00+00,1414,COUNTRY LN,W of,SARATOGA FRONTAGE RD,E/W,COUNTRY LN & SARATOGA FRONTAGE RD,San Jose,602,812,,2021/03/18 17:05:47+00, 
6183340.48873067,1925384.4103754,4494,2093,2093,37.27542453,-121.80030133,2018/08/15 00:00:00+00,2447,COYOTE RD,E of,SCARLEET WAY,E/W,COYOTE RD & SCARLEET WAY,San Jose,1199,1248,,2021/03/18 17:05:47+00, 
6184860.71567708,1920184.33350523,4495,2094,2094,37.26120648,-121.79481705,2018/08/14 00:00:00+00,7496,COYOTE RD,S of,CENTURY OAKS WAY,N/S,COYOTE RD & CENTURY OAKS WAY,San Jose,3805,3691,,2021/03/18 17:05:47+00, 
6178403.13508832,1926880.33914207,4496,2095,2095,37.27934207,-121.8173406,2018/08/15 00:00:00+00,2855,COYOTE RD,W of,LA TOREE AVE,E/W,COYOTE RD & LA TOREE AVE,San Jose,1402,1453,,2021/03/18 17:05:47+00, 
6147825.39440666,1926095.2810009,4497,2096,2096,37.27596197,-121.92238378,2018/04/03 00:00:00+00,14397,CURTNER AVE,E of,LEIGH AVE,E/W,CURTNER AVE & LEIGH AVE,San Jose,7488,6909,,2021/03/18 17:05:47+00, 
6155362.30157691,1938418.90038247,4498,2097,2097,37.31011896,-121.89711035,2018/09/12 00:00:00+00,536,CURTIS AVE,S of,WILLOW ST,N/S,CURTIS AVE & WILLOW ST,San Jose,301,235,,2021/03/18 17:05:47+00, 
