GEOID10,SF,CF,Diesel particulate matter exposure,ADT
6085504311,California,Santa Clara County,0.38,45690
6085504318,California,Santa Clara County,0.41,49988
6085505006,California,Santa Clara County,0.37,31226
6085504318,California,Santa Clara County,0.41,23553
6085504318,California,Santa Clara County,0.41,25533
6085505100,California,Santa Clara County,0.42,29431
6085505006,California,Santa Clara County,0.37,37398
6085505100,California,Santa Clara County,0.42,46126
6085502301,California,Santa Clara County,0.37,26632
6085501700,California,Santa Clara County,0.48,35656
6085504311,California,Santa Clara County,0.38,39057
6085505100,California,Santa Clara County,0.42,27722
6085500100,California,Santa Clara County,0.45,22316
6085505100,California,Santa Clara County,0.42,46126
6085505100,California,Santa Clara County,0.42,33676
6085505006,California,Santa Clara County,0.37,25617
6085505006,California,Santa Clara County,0.37,25206
6085502002,California,Santa Clara County,0.41,23214
6085506401,California,Santa Clara County,0.39,37430
6085505006,California,Santa Clara County,0.37,26640
6085504318,California,Santa Clara County,0.41,43256
6085504322,California,Santa Clara County,0.38,42790
6085506401,California,Santa Clara County,0.39,41880
6085504311,California,Santa Clara County,0.38,41799
6085504311,California,Santa Clara County,0.38,41322
6085504322,California,Santa Clara County,0.38,40853
6085502101,California,Santa Clara County,0.38,36262
6085505100,California,Santa Clara County,0.42,35750
6085503122,California,Santa Clara County,0.38,34940
6085501102,California,Santa Clara County,0.44,34860
6085506401,California,Santa Clara County,0.39,34310
6085500300,California,Santa Clara County,0.45,31504
6085500300,California,Santa Clara County,0.45,31170
6085502101,California,Santa Clara County,0.38,27488
6085500300,California,Santa Clara County,0.45,27267
6085500300,California,Santa Clara County,0.45,27040
6085505100,California,Santa Clara County,0.42,26920
6085500300,California,Santa Clara County,0.45,26500
6085505006,California,Santa Clara County,0.37,25484
6085500500,California,Santa Clara County,0.4,24366
6085505006,California,Santa Clara County,0.37,23770
6085504318,California,Santa Clara County,0.41,23680
6085502002,California,Santa Clara County,0.41,23387
6085502002,California,Santa Clara County,0.41,23351
6085500500,California,Santa Clara County,0.4,22730
6085500500,California,Santa Clara County,0.4,22694
6085503122,California,Santa Clara County,0.38,34274
6085503122,California,Santa Clara County,0.38,22343
6085504318,California,Santa Clara County,0.41,39381
6085502001,California,Santa Clara County,0.4,28438
6085500300,California,Santa Clara County,0.45,30922
6085503112,California,Santa Clara County,0.49,23084
6085505800,California,Santa Clara County,0.37,51883
6085503121,California,Santa Clara County,0.41,32354
6085503122,California,Santa Clara County,0.38,26361
6085506401,California,Santa Clara County,0.39,26368
6085504318,California,Santa Clara County,0.41,23000
6085500300,California,Santa Clara County,0.45,28759
6085500400,California,Santa Clara County,0.4,27066
6085505006,California,Santa Clara County,0.37,29407
6085500500,California,Santa Clara County,0.4,27346
6085506401,California,Santa Clara County,0.39,47374
6085503112,California,Santa Clara County,0.49,23196
6085506401,California,Santa Clara County,0.39,28193
6085503122,California,Santa Clara County,0.38,22900
6085500400,California,Santa Clara County,0.4,29000
6085501700,California,Santa Clara County,0.48,22346
6085503122,California,Santa Clara County,0.38,25853
6085503122,California,Santa Clara County,0.38,26085
6085500400,California,Santa Clara County,0.4,27834
6085500400,California,Santa Clara County,0.4,33646
6085505203,California,Santa Clara County,0.38,28960
6085500600,California,Santa Clara County,0.43,23240
6085500300,California,Santa Clara County,0.45,24862
6085501000,California,Santa Clara County,0.47,24618
6085506401,California,Santa Clara County,0.39,25781
6085506401,California,Santa Clara County,0.39,27242
6085500800,California,Santa Clara County,0.47,23882
6085501800,California,Santa Clara County,0.46,23574
6085500200,California,Santa Clara County,0.45,25951
6085503113,California,Santa Clara County,0.48,29261
6085503122,California,Santa Clara County,0.38,32321
6085505100,California,Santa Clara County,0.42,22901
6085503122,California,Santa Clara County,0.38,23628
6085505800,California,Santa Clara County,0.37,22420
6085506401,California,Santa Clara County,0.39,26386
6085502001,California,Santa Clara County,0.4,23191
6085506401,California,Santa Clara County,0.39,26328
6085503122,California,Santa Clara County,0.38,31783
6085502101,California,Santa Clara County,0.38,33460
6085505800,California,Santa Clara County,0.37,31649
6085502101,California,Santa Clara County,0.38,23711
6085503121,California,Santa Clara County,0.41,34825
6085503122,California,Santa Clara County,0.38,29613
6085503112,California,Santa Clara County,0.49,23284
6085503122,California,Santa Clara County,0.38,23728
6085503122,California,Santa Clara County,0.38,23880
