GEOID10,SF,CF,Diesel particulate matter exposure
6085504311,California,Santa Clara County,0.38
6085500600,California,Santa Clara County,0.43
6085502001,California,Santa Clara County,0.4
6085501102,California,Santa Clara County,0.44
6085503121,California,Santa Clara County,0.41
6085503122,California,Santa Clara County,0.38
6085505800,California,Santa Clara County,0.37
6085505006,California,Santa Clara County,0.37
6085505100,California,Santa Clara County,0.42
6085501000,California,Santa Clara County,0.47
6085500300,California,Santa Clara County,0.45
6085500800,California,Santa Clara County,0.47
6085503112,California,Santa Clara County,0.49
6085504318,California,Santa Clara County,0.41
6085506401,California,Santa Clara County,0.39
6085501700,California,Santa Clara County,0.48
6085504322,California,Santa Clara County,0.38
6085502301,California,Santa Clara County,0.37
6085500100,California,Santa Clara County,0.45
6085500400,California,Santa Clara County,0.4
6085500500,California,Santa Clara County,0.4
6085501800,California,Santa Clara County,0.46
6085502002,California,Santa Clara County,0.41
6085500200,California,Santa Clara County,0.45
6085503113,California,Santa Clara County,0.48
6085505203,California,Santa Clara County,0.38
6085502101,California,Santa Clara County,0.38
